Draw,Date,Winning Number 1,2,3,4,5,6,Additional Number,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize
4108,2025-08-28,10,11,16,24,34,35,1,16,4,2,2,4,1,2,1,2,0,78549.00,569,1709.00,1505,353.00,29745,50.00,43639,25.00,544163,10.00
4107,2025-08-25,2,3,4,16,22,39,48,"4,22",5,1,2,4,3,1,1,1,0,119475.00,222,1850.00,568,395.00,13271,50.00,15230,25.00,248292,10.00
4106,2025-08-21,4,13,22,36,38,46,12,4,3,3,1,5,1,1,1,2,1,361228.00,128,1941.00,346,392.00,6532,50.00,9643,25.00,125956,10.00
4105,2025-08-18,1,4,18,24,37,42,26,,4,2,2,4,2,1,1,1,1,132518.00,106,1719.00,267,373.00,5625,50.00,7584,25.00,103269,10.00
4104,2025-08-14,22,25,29,31,34,43,11,"31,34,43",1,5,4,2,0,0,3,2,1,209176.00,145,1778.00,398,354.00,6962,50.00,10701,25.00,129694,10.00
4103,2025-08-11,9,24,31,34,43,44,1,44,2,4,3,3,1,0,1,2,2,0.00,96,1809.00,203,467.00,4680,50.00,6377,25.00,88189,10.00
4102,2025-08-08,2,15,28,39,42,44,5,,2,4,2,4,1,1,1,1,2,241107.00,422,1896.00,1091,401.00,23034,50.00,33896,25.00,419505,10.00
4101,2025-08-04,30,32,40,43,45,49,5,,0,6,3,3,0,0,1,2,3,0.00,104,1870.00,246,432.00,5369,50.00,7154,25.00,92419,10.00
4100,2025-07-31,7,19,20,21,22,29,37,21,5,1,4,2,1,2,3,0,0,73408.00,705,1432.00,1626,339.00,36754,50.00,40890,25.00,626904,10.00
4099,2025-07-28,2,14,16,21,36,47,1,,4,2,2,4,1,2,1,1,1,121727.00,218,1920.00,547,418.00,12037,50.00,16195,25.00,214301,10.00
